iter	Logloss
0	0.6314208394
1	0.5931977097
2	0.5626404115
3	0.5464717854
4	0.5280143404
5	0.511239398
6	0.5024291587
7	0.4930231349
8	0.4858535959
9	0.4774783447
10	0.4724318009
11	0.4680846956
12	0.4625651401
13	0.457605508
14	0.4543445902
15	0.4511357205
16	0.4486002156
17	0.4452777614
18	0.4403000457
19	0.4379792863
20	0.4358693518
21	0.4342879292
22	0.4327579704
23	0.4309338536
24	0.4290939401
25	0.4276928683
26	0.4259769062
27	0.4247453973
28	0.4225805867
29	0.4211210439
30	0.4202598774
31	0.4192346156
32	0.4176912295
33	0.4170807189
34	0.4162683984
35	0.4147984904
36	0.4141162185
37	0.4129502217
38	0.4123382294
39	0.4109923774
40	0.4104451083
41	0.406838919
42	0.4056574043
43	0.4015981671
44	0.400921074
45	0.3999103942
46	0.3992442937
47	0.3982022912
48	0.397769565
49	0.3972475607
50	0.3967786014
51	0.3958068484
52	0.3952143032
53	0.3941213819
54	0.3935656941
55	0.3919191107
56	0.3911511993
57	0.3905580134
58	0.3877663945
59	0.3871505009
60	0.3863786606
61	0.3854591546
62	0.3841109981
63	0.3836371832
64	0.3826421058
65	0.3819666531
66	0.3809379281
67	0.379276612
68	0.3785652716
69	0.3774883985
70	0.376838765
71	0.3763110853
72	0.3756148589
73	0.3750887871
74	0.3743493689
75	0.3739657495
76	0.3727025932
77	0.3721818997
78	0.3715044926
79	0.370829131
80	0.3702525455
81	0.3692057466
82	0.3685145955
83	0.3678903158
84	0.3670070591
85	0.3660995191
86	0.3655400705
87	0.3647670589
88	0.3641468591
89	0.3636062675
90	0.3629705912
91	0.362521474
92	0.3617983686
93	0.3608984172
94	0.3604435341
95	0.3596693837
96	0.3590962202
97	0.3585939425
98	0.3582027091
99	0.3574790247
100	0.3568844717
101	0.3564622314
102	0.3560846472
103	0.3555459291
104	0.355066318
105	0.3544918446
106	0.3538487182
107	0.3534611146
108	0.3528943571
109	0.3523366198
110	0.3516551198
111	0.3512123157
112	0.3505353074
113	0.3500362487
114	0.3496549685
115	0.3494237409
116	0.3490200581
117	0.3486387207
118	0.3482964788
119	0.3476383672
120	0.347198129
121	0.3465243302
122	0.346108404
123	0.345778352
124	0.3454859795
125	0.3450752936
126	0.3444112627
127	0.3438710973
128	0.3433076071
129	0.3429038176
130	0.3423291478
131	0.341787886
132	0.3412779395
133	0.3408904822
134	0.3403388266
135	0.340113579
136	0.3398903725
137	0.3394805759
138	0.3389972759
139	0.3386092968
140	0.3382033456
141	0.3377958144
142	0.3374870575
143	0.336853246
144	0.3364282901
145	0.3360909596
146	0.3355300915
147	0.335158994
148	0.3348230184
149	0.3343970686
150	0.3338222647
151	0.333645974
152	0.3332585598
153	0.332494302
154	0.3319006557
155	0.3310837014
156	0.3308291563
157	0.3303252605
158	0.3298576358
159	0.3295235915
160	0.3291863111
161	0.3288944278
162	0.3285684287
163	0.3281694391
164	0.3277916536
165	0.3273612914
166	0.3269905884
167	0.3268291722
168	0.3264659069
169	0.3259540245
170	0.3255871492
171	0.325283198
172	0.3249437917
173	0.324620018
174	0.3243544331
175	0.3236754816
176	0.3234795554
177	0.3230907579
178	0.3227270618
179	0.3224096377
180	0.3220345041
181	0.3218193177
182	0.3213655228
183	0.3210875233
184	0.3208141995
185	0.3202878524
186	0.3199420112
187	0.3195640022
188	0.3191942537
189	0.3189453566
190	0.3185766526
191	0.3184491475
192	0.3181663325
193	0.3177830413
194	0.3173409448
195	0.3170097746
196	0.3168385582
197	0.3164501716
198	0.3160112564
199	0.315685878
